feature,importance
ro_p90,0.32650992
ro_mean,0.087083414
ro_max,0.06645737
ro_max_lag3,0.055569556
d2m_mean,0.053551085
ro_max_lag1,0.0521545
tp_max_7d,0.03774717
t2m_max,0.03043508
t2m_mean,0.028835217
ro_max_lag2,0.026497478
evap_mean,0.02497058
tp_mean,0.022838786
tp_max,0.021742744
sp_mean,0.0211972
ws_max,0.019858591
tp_max_3d,0.016309109
tp_p99,0.015363948
tp_p90,0.0142136905
rh_mean,0.013331982
tp_max_lag5,0.012112768
tp_max_lag2,0.0119304275
tp_max_lag3,0.011551623
ws_mean,0.010739383
tp_max_lag7,0.010231286
tp_max_lag1,0.008767127
